,game_date,game_status_text,points_home,points_away,home_team_wins,city_home,nickname_home,city_away,nickname_away
128,2012-03-10,Final,122,95,1,Charlotte,Hornets,Charlotte,Hornets
129,2012-03-02,Final,102,72,1,Charlotte,Hornets,Charlotte,Hornets
130,2012-02-29,Final,109,94,1,Charlotte,Hornets,Charlotte,Hornets
131,2012-02-19,Final,108,73,1,Charlotte,Hornets,Charlotte,Hornets
132,2012-02-17,Final,91,98,0,Charlotte,Hornets,Charlotte,Hornets
133,2012-02-15,Final,102,90,1,Charlotte,Hornets,Charlotte,Hornets
134,2012-02-07,Final,94,84,1,Charlotte,Hornets,Charlotte,Hornets
135,2012-02-04,Final,95,89,1,Charlotte,Hornets,Charlotte,Hornets
136,2012-02-01,Final,112,68,1,Charlotte,Hornets,Charlotte,Hornets
137,2012-01-31,Final,106,73,1,Charlotte,Hornets,Charlotte,Hornets
138,2012-01-27,Final,89,72,1,Charlotte,Hornets,Charlotte,Hornets
139,2012-01-25,Final,92,75,1,Charlotte,Hornets,Charlotte,Hornets
140,2012-01-22,Final,97,87,1,Charlotte,Hornets,Charlotte,Hornets
141,2012-01-21,Final,95,89,1,Charlotte,Hornets,Charlotte,Hornets
142,2012-01-17,Final,96,89,1,Charlotte,Hornets,Charlotte,Hornets
143,2012-01-12,Final,111,81,1,Charlotte,Hornets,Charlotte,Hornets
144,2012-01-09,Final,91,87,1,Charlotte,Hornets,Charlotte,Hornets
145,2012-01-07,Final,99,77,1,Charlotte,Hornets,Charlotte,Hornets
146,2012-01-04,Final,110,118,0,Charlotte,Hornets,Charlotte,Hornets
147,2012-01-03,Final,115,101,1,Charlotte,Hornets,Charlotte,Hornets
148,2012-01-01,Final,129,90,1,Charlotte,Hornets,Charlotte,Hornets
149,2011-12-22,Final,92,75,1,Charlotte,Hornets,Charlotte,Hornets
150,2011-04-11,Final,103,105,0,Charlotte,Hornets,Charlotte,Hornets
151,2011-04-08,Final,112,103,1,Charlotte,Hornets,Charlotte,Hornets
152,2011-04-05,Final,99,89,1,Charlotte,Hornets,Charlotte,Hornets
153,2011-04-01,Final,89,77,1,Charlotte,Hornets,Charlotte,Hornets
154,2011-03-25,Final,81,83,0,Charlotte,Hornets,Charlotte,Hornets
155,2011-03-19,Final,109,98,1,Charlotte,Hornets,Charlotte,Hornets
156,2011-03-18,Final,99,82,1,Charlotte,Hornets,Charlotte,Hornets
157,2011-03-16,Final,94,78,1,Charlotte,Hornets,Charlotte,Hornets
158,2011-03-13,Final,90,95,0,Charlotte,Hornets,Charlotte,Hornets
159,2011-03-05,Final,93,69,1,Charlotte,Hornets,Charlotte,Hornets
160,2011-03-04,Final,92,84,1,Charlotte,Hornets,Charlotte,Hornets
161,2011-03-02,Final,120,80,1,Charlotte,Hornets,Charlotte,Hornets
162,2011-02-27,Final,100,86,1,Charlotte,Hornets,Charlotte,Hornets
163,2011-02-15,Final,106,94,1,Charlotte,Hornets,Charlotte,Hornets
164,2011-02-12,Final,86,88,0,Charlotte,Hornets,Charlotte,Hornets
165,2011-02-09,Final,104,103,1,Charlotte,Hornets,Charlotte,Hornets
166,2011-02-02,Final,87,97,0,Charlotte,Hornets,Charlotte,Hornets
167,2011-01-31,Final,83,78,1,Charlotte,Hornets,Charlotte,Hornets
168,2011-01-29,Final,103,88,1,Charlotte,Hornets,Charlotte,Hornets
169,2011-01-28,Final,113,121,0,Charlotte,Hornets,Charlotte,Hornets
170,2011-01-26,Final,107,114,0,Charlotte,Hornets,Charlotte,Hornets
171,2011-01-25,Final,89,94,0,Charlotte,Hornets,Charlotte,Hornets
172,2011-01-18,Final,82,83,0,Charlotte,Hornets,Charlotte,Hornets
173,2011-01-17,Final,96,92,1,Charlotte,Hornets,Charlotte,Hornets
174,2011-01-14,Final,99,94,1,Charlotte,Hornets,Charlotte,Hornets
175,2011-01-05,Final,105,108,0,Charlotte,Hornets,Charlotte,Hornets
176,2010-12-20,Final,108,75,1,Charlotte,Hornets,Charlotte,Hornets
177,2010-12-17,Final,90,85,1,Charlotte,Hornets,Charlotte,Hornets
178,2010-12-15,Final,113,80,1,Charlotte,Hornets,Charlotte,Hornets
179,2010-12-10,Final,100,92,1,Charlotte,Hornets,Charlotte,Hornets
180,2010-12-04,Final,109,91,1,Charlotte,Hornets,Charlotte,Hornets
181,2010-12-01,Final,89,73,1,Charlotte,Hornets,Charlotte,Hornets
182,2010-11-27,Final,104,101,1,Charlotte,Hornets,Charlotte,Hornets
183,2010-11-23,Final,110,107,1,Charlotte,Hornets,Charlotte,Hornets
184,2010-11-19,Final,95,87,1,Charlotte,Hornets,Charlotte,Hornets
185,2010-11-12,Final,85,93,0,Charlotte,Hornets,Charlotte,Hornets
186,2010-11-10,Final,96,101,0,Charlotte,Hornets,Charlotte,Hornets
187,2010-11-05,Final,97,90,1,Charlotte,Hornets,Charlotte,Hornets
188,2010-11-03,Final,83,85,0,Charlotte,Hornets,Charlotte,Hornets
189,2010-10-30,Final,98,88,1,Charlotte,Hornets,Charlotte,Hornets
190,2010-10-27,Final,101,86,1,Charlotte,Hornets,Charlotte,Hornets
191,2010-10-18,Final,96,102,0,Charlotte,Hornets,Charlotte,Hornets
192,2010-10-14,Final,86,73,1,Charlotte,Hornets,Charlotte,Hornets
193,2010-10-09,Final,86,78,1,Charlotte,Hornets,Charlotte,Hornets
194,2010-10-05,Final,87,72,1,Charlotte,Hornets,Charlotte,Hornets
195,2010-04-21,Final,92,77,1,Charlotte,Hornets,Charlotte,Hornets
196,2010-04-18,Final,98,89,1,Charlotte,Hornets,Charlotte,Hornets
197,2010-04-12,Final,95,105,0,Charlotte,Hornets,Charlotte,Hornets
198,2010-04-09,Final,97,90,1,Charlotte,Hornets,Charlotte,Hornets
199,2010-04-07,Final,103,104,0,Charlotte,Hornets,Charlotte,Hornets
200,2010-04-03,Final,96,88,1,Charlotte,Hornets,Charlotte,Hornets
201,2010-03-23,Final,86,95,0,Charlotte,Hornets,Charlotte,Hornets
202,2010-03-20,Final,77,71,1,Charlotte,Hornets,Charlotte,Hornets
203,2010-03-19,Final,93,92,1,Charlotte,Hornets,Charlotte,Hornets
204,2010-03-16,Final,99,94,1,Charlotte,Hornets,Charlotte,Hornets
205,2010-03-14,Final,89,96,0,Charlotte,Hornets,Charlotte,Hornets
206,2010-03-10,Final,87,102,0,Charlotte,Hornets,Charlotte,Hornets
207,2010-03-03,Final,104,80,1,Charlotte,Hornets,Charlotte,Hornets
208,2010-02-26,Final,89,93,0,Charlotte,Hornets,Charlotte,Hornets
209,2010-02-24,Final,102,93,1,Charlotte,Hornets,Charlotte,Hornets
210,2010-02-22,Final,98,94,1,Charlotte,Hornets,Charlotte,Hornets
211,2010-02-20,Final,93,88,1,Charlotte,Hornets,Charlotte,Hornets
212,2010-02-10,Final,92,93,0,Charlotte,Hornets,Charlotte,Hornets
213,2010-02-03,Final,99,97,1,Charlotte,Hornets,Charlotte,Hornets
214,2010-02-01,Final,98,79,1,Charlotte,Hornets,Charlotte,Hornets
215,2010-01-30,Final,96,103,0,Charlotte,Hornets,Charlotte,Hornets
216,2010-01-29,Final,110,121,0,Charlotte,Hornets,Charlotte,Hornets
217,2010-01-26,Final,109,114,0,Charlotte,Hornets,Charlotte,Hornets
218,2010-01-25,Final,104,93,1,Charlotte,Hornets,Charlotte,Hornets
219,2010-01-22,Final,103,89,1,Charlotte,Hornets,Charlotte,Hornets
220,2010-01-07,Final,97,93,1,Charlotte,Hornets,Charlotte,Hornets
221,2010-01-03,Final,88,91,0,Charlotte,Hornets,Charlotte,Hornets
222,2010-01-02,Final,97,107,0,Charlotte,Hornets,Charlotte,Hornets
223,2009-12-30,Final,107,103,1,Charlotte,Hornets,Charlotte,Hornets
224,2009-12-26,Final,98,91,1,Charlotte,Hornets,Charlotte,Hornets
225,2009-12-20,Final,98,94,1,Charlotte,Hornets,Charlotte,Hornets
226,2009-12-16,Final,101,98,1,Charlotte,Hornets,Charlotte,Hornets
227,2009-12-12,Final,98,97,1,Charlotte,Hornets,Charlotte,Hornets
228,2009-12-11,Final,104,85,1,Charlotte,Hornets,Charlotte,Hornets
229,2009-12-04,Final,97,91,1,Charlotte,Hornets,Charlotte,Hornets
230,2009-11-28,Final,76,92,0,Charlotte,Hornets,Charlotte,Hornets
231,2009-11-20,Final,95,88,1,Charlotte,Hornets,Charlotte,Hornets
232,2009-11-18,Final,86,84,1,Charlotte,Hornets,Charlotte,Hornets
233,2009-11-16,Final,97,91,1,Charlotte,Hornets,Charlotte,Hornets
234,2009-11-11,Final,98,75,1,Charlotte,Hornets,Charlotte,Hornets
235,2009-11-07,Final,93,90,1,Charlotte,Hornets,Charlotte,Hornets
236,2009-10-31,Final,90,79,1,Charlotte,Hornets,Charlotte,Hornets
237,2009-10-28,Final,92,59,1,Charlotte,Hornets,Charlotte,Hornets
238,2009-10-17,Final,91,87,1,Charlotte,Hornets,Charlotte,Hornets
239,2009-10-12,Final,107,90,1,Charlotte,Hornets,Charlotte,Hornets
240,2009-10-06,Final,92,87,1,Charlotte,Hornets,Charlotte,Hornets
241,2009-04-15,Final,98,73,1,Charlotte,Hornets,Charlotte,Hornets
242,2009-04-13,Final,91,87,1,Charlotte,Hornets,Charlotte,Hornets
243,2009-04-11,Final,113,106,1,Charlotte,Hornets,Charlotte,Hornets
244,2009-04-10,Final,84,81,1,Charlotte,Hornets,Charlotte,Hornets
245,2009-04-05,Final,104,97,1,Charlotte,Hornets,Charlotte,Hornets
246,2009-04-01,Final,111,109,1,Charlotte,Hornets,Charlotte,Hornets
247,2009-03-27,Final,95,100,0,Charlotte,Hornets,Charlotte,Hornets
248,2009-03-25,Final,95,93,1,Charlotte,Hornets,Charlotte,Hornets
249,2009-03-20,Final,89,102,0,Charlotte,Hornets,Charlotte,Hornets
250,2009-03-14,Final,108,100,1,Charlotte,Hornets,Charlotte,Hornets
251,2009-03-10,Final,100,86,1,Charlotte,Hornets,Charlotte,Hornets
252,2009-03-07,Final,105,114,0,Charlotte,Hornets,Charlotte,Hornets
253,2009-02-28,Final,95,100,0,Charlotte,Hornets,Charlotte,Hornets
254,2009-02-27,Final,109,112,0,Charlotte,Hornets,Charlotte,Hornets
255,2009-02-25,Final,91,98,0,Charlotte,Hornets,Charlotte,Hornets
256,2009-02-24,Final,112,102,1,Charlotte,Hornets,Charlotte,Hornets
257,2009-02-22,Final,99,78,1,Charlotte,Hornets,Charlotte,Hornets
258,2009-02-17,Final,107,102,1,Charlotte,Hornets,Charlotte,Hornets
259,2009-02-08,Final,96,92,1,Charlotte,Hornets,Charlotte,Hornets
260,2009-02-02,Final,105,86,1,Charlotte,Hornets,Charlotte,Hornets
261,2009-01-30,Final,110,99,1,Charlotte,Hornets,Charlotte,Hornets
262,2009-01-28,Final,88,74,1,Charlotte,Hornets,Charlotte,Hornets
263,2009-01-27,Final,110,117,0,Charlotte,Hornets,Charlotte,Hornets
264,2009-01-25,Final,98,93,1,Charlotte,Hornets,Charlotte,Hornets
265,2009-01-13,Final,78,80,0,Charlotte,Hornets,Charlotte,Hornets
266,2009-01-10,Final,89,92,0,Charlotte,Hornets,Charlotte,Hornets
267,2009-01-09,Final,93,87,1,Charlotte,Hornets,Charlotte,Hornets
268,2009-01-07,Final,111,81,1,Charlotte,Hornets,Charlotte,Hornets
269,2009-01-02,Final,103,75,1,Charlotte,Hornets,Charlotte,Hornets
270,2008-12-26,Final,87,95,0,Charlotte,Hornets,Charlotte,Hornets
271,2008-12-19,Final,83,112,0,Charlotte,Hornets,Charlotte,Hornets
272,2008-12-15,Final,83,79,1,Charlotte,Hornets,Charlotte,Hornets
273,2008-12-11,Final,95,90,1,Charlotte,Hornets,Charlotte,Hornets
274,2008-12-10,Final,105,89,1,Charlotte,Hornets,Charlotte,Hornets
275,2008-12-08,Final,100,96,1,Charlotte,Hornets,Charlotte,Hornets
276,2008-12-05,Final,101,96,1,Charlotte,Hornets,Charlotte,Hornets
277,2008-11-28,Final,108,115,0,Charlotte,Hornets,Charlotte,Hornets
278,2008-11-26,Final,93,86,1,Charlotte,Hornets,Charlotte,Hornets
279,2008-11-21,Final,88,83,1,Charlotte,Hornets,Charlotte,Hornets
280,2008-11-05,Final,101,98,1,Charlotte,Hornets,Charlotte,Hornets
281,2008-10-30,Final,96,79,1,Charlotte,Hornets,Charlotte,Hornets
282,2008-10-23,Final,88,77,1,Charlotte,Hornets,Charlotte,Hornets
283,2008-10-21,Final,102,98,1,Charlotte,Hornets,Charlotte,Hornets
284,2008-10-20,Final,111,108,1,Charlotte,Hornets,Charlotte,Hornets
285,2008-10-13,Final,88,87,1,Charlotte,Hornets,Charlotte,Hornets
286,2008-10-10,Final,92,79,1,Charlotte,Hornets,Charlotte,Hornets
287,2008-10-08,Final,118,80,1,Charlotte,Hornets,Charlotte,Hornets
288,2008-04-15,Final,112,108,1,Charlotte,Hornets,Charlotte,Hornets
289,2008-04-12,Final,103,107,0,Charlotte,Hornets,Charlotte,Hornets
290,2008-04-09,Final,109,107,1,Charlotte,Hornets,Charlotte,Hornets
291,2008-04-04,Final,100,105,0,Charlotte,Hornets,Charlotte,Hornets
292,2008-03-29,Final,85,93,0,Charlotte,Hornets,Charlotte,Hornets
293,2008-03-28,Final,93,96,0,Charlotte,Hornets,Charlotte,Hornets
294,2008-03-26,Final,95,108,0,Charlotte,Hornets,Charlotte,Hornets
295,2008-03-25,Final,128,106,1,Charlotte,Hornets,Charlotte,Hornets
296,2008-03-19,Final,102,95,1,Charlotte,Hornets,Charlotte,Hornets
297,2008-03-17,Final,98,80,1,Charlotte,Hornets,Charlotte,Hornets
298,2008-03-16,Final,98,91,1,Charlotte,Hornets,Charlotte,Hornets
299,2008-03-14,Final,89,80,1,Charlotte,Hornets,Charlotte,Hornets
300,2008-03-12,Final,118,93,1,Charlotte,Hornets,Charlotte,Hornets
301,2008-03-08,Final,97,100,0,Charlotte,Hornets,Charlotte,Hornets
302,2008-03-04,Final,89,109,0,Charlotte,Hornets,Charlotte,Hornets
303,2008-02-29,Final,108,100,1,Charlotte,Hornets,Charlotte,Hornets
304,2008-02-27,Final,113,89,1,Charlotte,Hornets,Charlotte,Hornets
305,2008-02-23,Final,110,95,1,Charlotte,Hornets,Charlotte,Hornets
306,2008-02-19,Final,85,65,1,Charlotte,Hornets,Charlotte,Hornets
307,2008-02-10,Final,113,87,1,Charlotte,Hornets,Charlotte,Hornets
308,2008-02-04,Final,118,104,1,Charlotte,Hornets,Charlotte,Hornets
309,2008-02-02,Final,117,101,1,Charlotte,Hornets,Charlotte,Hornets
310,2008-02-01,Final,127,96,1,Charlotte,Hornets,Charlotte,Hornets
311,2008-01-30,Final,105,91,1,Charlotte,Hornets,Charlotte,Hornets
312,2008-01-28,Final,100,107,0,Charlotte,Hornets,Charlotte,Hornets
313,2008-01-25,Final,77,90,0,Charlotte,Hornets,Charlotte,Hornets
314,2008-01-18,Final,112,84,1,Charlotte,Hornets,Charlotte,Hornets
315,2008-01-11,Final,113,106,1,Charlotte,Hornets,Charlotte,Hornets
316,2008-01-09,Final,83,95,0,Charlotte,Hornets,Charlotte,Hornets
317,2008-01-04,Final,102,96,1,Charlotte,Hornets,Charlotte,Hornets
318,2007-12-29,Final,104,95,1,Charlotte,Hornets,Charlotte,Hornets
319,2007-12-22,Final,103,99,1,Charlotte,Hornets,Charlotte,Hornets
320,2007-12-15,Final,93,84,1,Charlotte,Hornets,Charlotte,Hornets
321,2007-12-09,Final,104,85,1,Charlotte,Hornets,Charlotte,Hornets
322,2007-12-03,Final,98,79,1,Charlotte,Hornets,Charlotte,Hornets
323,2007-12-01,Final,111,95,1,Charlotte,Hornets,Charlotte,Hornets
324,2007-11-27,Final,110,90,1,Charlotte,Hornets,Charlotte,Hornets
325,2007-11-23,Final,105,92,1,Charlotte,Hornets,Charlotte,Hornets
326,2007-11-14,Final,117,109,1,Charlotte,Hornets,Charlotte,Hornets
